"file","total_recent_pixels","decline_pixels","stable_pixels","decline_percentage","stable_percentage","extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",1285973,729628,556345,56.74,43.26,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",1572207,770874,801333,49.03,50.97,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",1385494,769102,616392,55.51,44.49,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",1372944,544254,828690,39.64,60.36,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",1723945,618349,1105596,35.87,64.13,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",1473516,960815,512701,65.21,34.79,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",1782334,614563,1167771,34.48,65.52,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",781434,296697,484737,37.97,62.03,"Full Extent"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",57189,39195,17994,68.54,31.46,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",58390,35315,23075,60.48,39.52,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",29321,21773,7548,74.26,25.74,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",41375,14035,27340,33.92,66.08,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",68402,33698,34704,49.26,50.74,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",12371,12057,314,97.46,2.54,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",11243,10073,1170,89.59,10.41,"Czech Republic"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",190,155,35,81.58,18.42,"Czech Republic"
