"file","category","count","total_recent_occurrences","percentage_of_recent","category_label"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",-2,729628,1285973,56.74,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q22_LZW",-1,556345,1285973,43.26,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",-2,770874,1572207,49.03,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q24_LZW",-1,801333,1572207,50.97,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",-2,769102,1385494,55.51,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q25_LZW",-1,616392,1385494,44.49,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",-2,544254,1372944,39.64,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q41_LZW",-1,828690,1372944,60.36,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",-2,618349,1723945,35.87,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q42_LZW",-1,1105596,1723945,64.13,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",-2,960815,1473516,65.21,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q43_LZW",-1,512701,1473516,34.79,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",-2,614563,1782334,34.48,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q44_LZW",-1,1167771,1782334,65.52,"Stable"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",-2,296697,781434,37.97,"Decline"
"Map_Range_Change_AQUIFER_2011_2040_gfdl_esm4_ssp585_Q45_LZW",-1,484737,781434,62.03,"Stable"
